LDH Region,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,262,12,2997,178,1,,,-10287256.783187998,3540974.1934074564
5,Allen,157,10,1099,43,2,,,-10333543.42745984,3587782.93213322
2,Ascension,768,52,6172,70,3,,,-10120199.62335453,3529750.239441165
3,Assumption,233,11,1534,134,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,96,9,1300,88,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,52,4,1123,17,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,84,20,759,20,7,,,-10358946.535258865,3809003.114831105
7,Bossier,353,24,8162,46,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1939,156,20468,127,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,521,42,9105,210,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,50,0,519,118,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,110,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,106,3,446,14,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,58,10,637,35,14,,,-10352233.969964031,3871825.723239455
6,Concordia,57,5,448,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,228,16,2187,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,3213,221,17981,1199,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,46,0,541,5,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,179,27,745,457,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,67,1,976,203,20,,,-10286577.734294157,3597627.73082642
8,Franklin,274,9,1381,239,21,,,-10205069.603135323,3780849.991122153
6,Grant,22,1,476,23,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,359,35,3405,218,23,,,-10213919.50265339,3499442.344662809
2,Iberville,531,38,1823,453,24,,,-10170170.942771632,3531648.978740774
8,Jackson,76,10,635,63,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,7128,431,38062,868,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,71,6,1028,406,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,40,0,649,32,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,607,23,12980,259,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,753,64,5512,543,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,122,14,1199,114,31,,,-10315398.350460537,3842561.460019133
9,Livingston,358,26,4685,58,32,,,-10101041.53898901,3561580.8148531397
8,Madison,33,0,332,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,94,5,1351,40,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,103,13,1320,68,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6884,500,36558,1789,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,980,34,8834,328,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,6259,168,38,,,0,0
,Parish Under Investigation,72,0,0,0,39,,,0,0
1,Plaquemines,197,16,1450,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,179,21,1090,173,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,516,16,4015,650,42,,,-10300748.705472142,3658620.1381813665
7,Red River,43,6,392,16,43,,,-10390550.138695076,3775561.314531145
8,Richland,108,2,1553,31,44,,,-10211648.585041204,3824147.525620587
7,Sabine,31,0,722,29,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,518,21,3138,42,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,615,42,4607,158,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,42,1,214,9,48,,,-10097824.405705085,3609672.114795786
3,St. James,284,23,2565,217,49,,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,832,77,4029,377,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,237,52,3691,292,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,275,22,2667,38,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,281,29,2191,258,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1572,151,14445,439,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,752,30,5663,61,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,5,0,122,2,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,594,44,5170,302,57,,,-10113097.43984192,3431495.9976110803
8,Union,245,14,1529,51,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,45,3,2070,35,59,,,-10277416.140201872,3483772.465794131
6,Vernon,21,2,1106,9,60,,,-10373206.562029485,3646859.6663601766
9,Washington,376,36,2466,402,61,,,-10023262.61077175,3613735.3157097343
7,Webster,119,5,2147,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,149,30,1179,28,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,19,0,522,25,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,192,8,128,363,65,,,-10176004.0840892,3616641.5648341277
6,Winn,90,2,506,94,66,,,-10312270.272769246,3756026.2806381825
