LDHH,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,134,10,1951,42,1,,,-10287256.783187998,3540974.1934074564
5,Allen,90,9,387,32,2,,,-10333543.42745984,3587782.93213322
2,Ascension,647,40,3769,60,3,,,-10120199.62335453,3529750.239441165
3,Assumption,201,6,846,54,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,74,7,934,57,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,43,3,714,9,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,78,13,549,20,7,,,-10358946.535258865,3809003.114831105
7,Bossier,300,17,5817,44,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1629,114,14186,124,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,464,31,6080,129,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,39,0,285,107,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,83,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,46,2,226,8,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,58,7,458,25,14,,,-10352233.969964031,3871825.723239455
6,Concordia,40,5,239,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,202,13,1450,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,2131,156,9766,626,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,8,0,277,4,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,130,16,412,182,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,60,1,608,90,20,,,-10286577.734294157,3597627.73082642
8,Franklin,139,3,737,32,21,,,-10205069.603135323,3780849.991122153
6,Grant,17,0,322,8,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,270,23,2185,207,23,,,-10213919.50265339,3499442.344662809
2,Iberville,482,32,1157,373,24,,,-10170170.942771632,3531648.978740774
8,Jackson,47,3,359,32,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,6426,377,24714,853,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,65,6,742,122,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,27,0,419,29,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,468,20,9216,92,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,681,52,3223,393,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,94,9,657,80,31,,,-10315398.350460537,3842561.460019133
9,Livingston,243,16,2756,43,32,,,-10101041.53898901,3561580.8148531397
8,Madison,8,0,163,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,55,4,787,32,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,90,5,756,49,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6557,447,23513,1784,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,785,22,5647,256,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,3347,126,38,,,0,0
,Parish Under Investigation,63,0,0,0,39,,,0,0
1,Plaquemines,181,17,968,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,108,16,447,120,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,300,10,2569,114,42,,,-10300748.705472142,3658620.1381813665
7,Red River,33,5,211,15,43,,,-10390550.138695076,3775561.314531145
8,Richland,82,0,853,25,44,,,-10211648.585041204,3824147.525620587
7,Sabine,17,1,379,25,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,480,20,2080,41,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,584,41,3315,70,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,31,1,133,7,48,,,-10097824.405705085,3609672.114795786
3,St. James,253,20,1864,109,49,`,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,777,71,2819,192,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,191,45,2235,95,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,244,18,1906,30,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,209,23,1059,161,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1341,116,8662,296,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,588,23,3265,59,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,2,0,63,1,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,466,33,2754,296,57,,,-10113097.43984192,3431495.9976110803
8,Union,143,7,822,32,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,38,1,1453,22,59,,,-10277416.140201872,3483772.465794131
6,Vernon,16,2,606,4,60,,,-10373206.562029485,3646859.6663601766
9,Washington,291,21,1332,318,61,,,-10023262.61077175,3613735.3157097343
7,Webster,92,4,1627,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,111,22,591,22,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,4,0,251,23,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,153,3,67,240,65,,,-10176004.0840892,3616641.5648341277
6,Winn,44,2,323,38,66,,,-10312270.272769246,3756026.2806381825
